gene,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Cdk2,Q3U6X7,Q3U6X7_MOUSE,unreviewed,Uncharacterized protein,Cdk2,Mus musculus (Mouse),298
Cdk2,Q3UGB9,Q3UGB9_MOUSE,unreviewed,Protein kinase domain-containing protein,Cdk2,Mus musculus (Mouse),346
Cdk20,A0A1Y7VIW8,A0A1Y7VIW8_MOUSE,unreviewed,Cyclin-dependent kinase 20,Cdk20,Mus musculus (Mouse),188
Cdk20,A0A1Y7VJE1,A0A1Y7VJE1_MOUSE,unreviewed,Cyclin-dependent kinase 20 (Fragment),Cdk20,Mus musculus (Mouse),159
Cdk20,A0A1Y7VJN2,A0A1Y7VJN2_MOUSE,unreviewed,Cyclin-dependent kinase 20 (Fragment),Cdk20,Mus musculus (Mouse),48
Cdk20,A0A1Y7VKB8,A0A1Y7VKB8_MOUSE,unreviewed,Cyclin-dependent kinase 20 (Fragment),Cdk20,Mus musculus (Mouse),71
Cdk20,A0A1Y7VNS6,A0A1Y7VNS6_MOUSE,unreviewed,Cyclin-dependent kinase 20 (Fragment),Cdk20,Mus musculus (Mouse),320
Cdk20,Q9JHU3,CDK20_MOUSE,reviewed,Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (CDK-related protein kinase PNQLARE) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42),Cdk20 Ccrk Cdch,Mus musculus (Mouse),346
Cdk3-ps,Q80YP0,CDK3_MOUSE,reviewed,Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3),Cdk3 Cdk3-ps Cdkn3,Mus musculus (Mouse),303
Cdk4,D3YWB0,D3YWB0_MOUSE,unreviewed,Cyclin-dependent kinase 4,Cdk4,Mus musculus (Mouse),158
Cdk4,D6RHS5,D6RHS5_MOUSE,unreviewed,Cyclin-dependent kinase 4,Cdk4,Mus musculus (Mouse),74
Cdk4,E9PZX7,E9PZX7_MOUSE,unreviewed,Cyclin-dependent kinase 4 (Fragment),Cdk4,Mus musculus (Mouse),271
Cdk4,E9Q9E4,E9Q9E4_MOUSE,unreviewed,Cyclin-dependent kinase 4 (Fragment),Cdk4,Mus musculus (Mouse),253
Cdk4,P30285,CDK4_MOUSE,reviewed,Cyclin-dependent kinase 4 (EC 2.7.11.22) (CRK3) (Cell division protein kinase 4) (PSK-J3),Cdk4 Crk3,Mus musculus (Mouse),303
Cdk4,Q545C3,Q545C3_MOUSE,unreviewed,Protein kinase domain-containing protein,Cdk4,Mus musculus (Mouse),303
Cdk4,Q8BP21,Q8BP21_MOUSE,unreviewed,Protein kinase domain-containing protein,Cdk4,Mus musculus (Mouse),303
Cdk4,Q9CSQ6,Q9CSQ6_MOUSE,unreviewed,Uncharacterized protein (Fragment),Cdk4,Mus musculus (Mouse),56
Cdk4,Q9CYR7,Q9CYR7_MOUSE,unreviewed,Protein kinase domain-containing protein,Cdk4,Mus musculus (Mouse),303
Cdk4,Q9D193,Q9D193_MOUSE,unreviewed,Protein kinase domain-containing protein,Cdk4,Mus musculus (Mouse),303
Cdk4,Q9JKW8,Q9JKW8_MOUSE,unreviewed,Cyclin dependent kinase 4 (Fragment),CDK4,Mus musculus (Mouse),96
Cdk5,A0A0G2JDL3,A0A0G2JDL3_MOUSE,unreviewed,Cyclin-dependent-like kinase 5,Cdk5,Mus musculus (Mouse),260
Cdk5,P49615,CDK5_MOUSE,reviewed,Cyclin-dependent-like kinase 5 (EC 2.7.11.1) (CR6 protein kinase) (CRK6) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit),Cdk5 Cdkn5 Crk6,Mus musculus (Mouse),292
Cdk5,Q543F6,Q543F6_MOUSE,unreviewed,Uncharacterized protein,Cdk5,Mus musculus (Mouse),292
Cdk6,A0A0G2JEJ6,A0A0G2JEJ6_MOUSE,unreviewed,Cyclin-dependent kinase 6 (Fragment),Cdk6,Mus musculus (Mouse),23
Cdk6,A0A0G2JGA8,A0A0G2JGA8_MOUSE,unreviewed,Cyclin-dependent kinase 6 (Fragment),Cdk6,Mus musculus (Mouse),82
Cdk6,A0A0G2JGH2,A0A0G2JGH2_MOUSE,unreviewed,Cyclin-dependent kinase 6 (Fragment),Cdk6,Mus musculus (Mouse),29
Cdk6,Q0VBK8,Q0VBK8_MOUSE,unreviewed,Cyclin-dependent kinase 6,Cdk6,Mus musculus (Mouse),326
Cdk6,Q3U4J9,Q3U4J9_MOUSE,unreviewed,Protein kinase domain-containing protein,Cdk6,Mus musculus (Mouse),326
Cdk6,Q64261,CDK6_MOUSE,reviewed,Cyclin-dependent kinase 6 (EC 2.7.11.22) (CR2 protein kinase) (CRK2) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE),Cdk6 Cdkn6 Crk2,Mus musculus (Mouse),326
Cdk7,A0A286YDC0,A0A286YDC0_MOUSE,unreviewed,Cyclin-dependent kinase 7,Cdk7,Mus musculus (Mouse),309
Cdk7,Q03147,CDK7_MOUSE,reviewed,Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (P39 Mo15) (CDK-activating kinase) (CR4 protein kinase) (CRK4) (Cell division protein kinase 7) (Protein-tyrosine kinase MPK-7) (TFIIH basal transcription factor complex kinase subunit),Cdk7 Cak Cdkn7 Crk4 Mo15 Mpk-7,Mus musculus (Mouse),346
Cdk7,Q3THG5,Q3THG5_MOUSE,unreviewed,Cyclin-dependent kinase 7 (Homolog of Xenopus MO15 cdk-activating kinase),Cdk7,Mus musculus (Mouse),346
Cdk7,Q3UJT4,Q3UJT4_MOUSE,unreviewed,Uncharacterized protein,Cdk7 Gm10746,Mus musculus (Mouse),110
Cdk7,Q8CAC4,Q8CAC4_MOUSE,unreviewed,Protein kinase domain-containing protein,Cdk7,Mus musculus (Mouse),252
Cdk8,E0CY29,E0CY29_MOUSE,unreviewed,Cyclin-dependent kinase 8 (Fragment),Cdk8,Mus musculus (Mouse),115
Cdk8,E0CYC4,E0CYC4_MOUSE,unreviewed,Cyclin-dependent kinase 8 (Fragment),Cdk8,Mus musculus (Mouse),245
Cdk8,E0CZC3,E0CZC3_MOUSE,unreviewed,Cyclin-dependent kinase 8,Cdk8,Mus musculus (Mouse),164
Cdk8,E9Q6E2,E9Q6E2_MOUSE,unreviewed,Cyclin-dependent kinase 8,Cdk8,Mus musculus (Mouse),399
Cdk8,Q5U427,Q5U427_MOUSE,unreviewed,Cdk8 protein (Fragment),Cdk8,Mus musculus (Mouse),174
Cdk8,Q8R3L8,CDK8_MOUSE,reviewed,Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8),Cdk8,Mus musculus (Mouse),464
Cdk9,B0R021,B0R021_MOUSE,unreviewed,Cyclin-dependent kinase 9 (Fragment),Cdk9,Mus musculus (Mouse),54
Cdk9,D6RGN3,D6RGN3_MOUSE,unreviewed,Cyclin-dependent kinase 9,Cdk9,Mus musculus (Mouse),36
Cdk9,D6RHP4,D6RHP4_MOUSE,unreviewed,Cyclin-dependent kinase 9,Cdk9,Mus musculus (Mouse),61
Cdk9,Q99J95,CDK9_MOUSE,reviewed,Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 9),Cdk9,Mus musculus (Mouse),372
Cdkl1,Q14BG3,Q14BG3_MOUSE,unreviewed,Cyclin-dependent kinase-like 1 (CDC2-related kinase),Cdkl1,Mus musculus (Mouse),352
Cdkl1,Q8CEQ0,CDKL1_MOUSE,reviewed,Cyclin-dependent kinase-like 1 (EC 2.7.11.22),Cdkl1,Mus musculus (Mouse),352
Cdkl2,A0A0J9YU22,A0A0J9YU22_MOUSE,unreviewed,Cyclin-dependent kinase-like 2 (Fragment),Cdkl2,Mus musculus (Mouse),75
Cdkl2,Q149A0,Q149A0_MOUSE,unreviewed,Cyclin-dependent kinase-like 2 (CDC2-related kinase),Cdkl2,Mus musculus (Mouse),568
Cdkl2,Q9QUK0,CDKL2_MOUSE,reviewed,Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Serine/threonine-protein kinase KKIAMRE),Cdkl2 Kkiamre Kkm,Mus musculus (Mouse),568
Cdkl3,A0A140LJ75,A0A140LJ75_MOUSE,unreviewed,Cyclin-dependent kinase-like 3 (Fragment),Cdkl3,Mus musculus (Mouse),50
Cdkl3,B1AU42,B1AU42_MOUSE,unreviewed,Cyclin-dependent kinase-like 3 (Fragment),Cdkl3,Mus musculus (Mouse),192
Cdkl3,B1AU43,B1AU43_MOUSE,unreviewed,Cyclin-dependent kinase-like 3,Cdkl3,Mus musculus (Mouse),610
Cdkl3,F2Z3Z6,F2Z3Z6_MOUSE,unreviewed,Cyclin-dependent kinase-like 3,Cdkl3,Mus musculus (Mouse),591
Cdkl3,F6RBI5,F6RBI5_MOUSE,unreviewed,Cyclin-dependent kinase-like 3 (Fragment),Cdkl3,Mus musculus (Mouse),224
Cdkl3,F6RUB4,F6RUB4_MOUSE,unreviewed,Cyclin-dependent kinase-like 3 (Fragment),Cdkl3,Mus musculus (Mouse),138
Cdkl3,F6RX76,F6RX76_MOUSE,unreviewed,Cyclin-dependent kinase-like 3 (Fragment),Cdkl3,Mus musculus (Mouse),80
Cdkl3,F6ULF3,F6ULF3_MOUSE,unreviewed,Cyclin-dependent kinase-like 3 (Fragment),Cdkl3,Mus musculus (Mouse),97
Cdkl3,F6Y3R0,F6Y3R0_MOUSE,unreviewed,Cyclin-dependent kinase-like 3 (Fragment),Cdkl3,Mus musculus (Mouse),92
Cdkl3,Q8BLF2,CDKL3_MOUSE,reviewed,Cyclin-dependent kinase-like 3 (EC 2.7.11.22),Cdkl3,Mus musculus (Mouse),595
Cdkl4,Q3TZA2,CDKL4_MOUSE,reviewed,Cyclin-dependent kinase-like 4 (EC 2.7.11.22),Cdkl4 Gm942,Mus musculus (Mouse),342
Cdkl5,A0A0G2JF79,A0A0G2JF79_MOUSE,unreviewed,Cyclin-dependent kinase-like 5,Cdkl5,Mus musculus (Mouse),923
Cdkl5,A0A0G2JFE2,A0A0G2JFE2_MOUSE,unreviewed,Cyclin-dependent kinase-like 5,Cdkl5,Mus musculus (Mouse),862
Cdkl5,A0A0G2JGW6,A0A0G2JGW6_MOUSE,unreviewed,Cyclin-dependent kinase-like 5,Cdkl5,Mus musculus (Mouse),960
Cdkl5,Q3UTQ8,CDKL5_MOUSE,reviewed,Cyclin-dependent kinase-like 5 (EC 2.7.11.22),Cdkl5,Mus musculus (Mouse),938
Chek1,G3UX84,G3UX84_MOUSE,unreviewed,Serine/threonine-protein kinase Chk1 (Fragment),Chek1,Mus musculus (Mouse),74
Chek1,G3UYC5,G3UYC5_MOUSE,unreviewed,Serine/threonine-protein kinase Chk1,Chek1,Mus musculus (Mouse),442
Chek1,O35280,CHK1_MOUSE,reviewed,Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Checkpoint kinase-1),Chek1 Chk1,Mus musculus (Mouse),476
Chek1,Q497T8,Q497T8_MOUSE,unreviewed,Chek1 protein,Chek1,Mus musculus (Mouse),476
Chek2,A0A0G2JDS0,A0A0G2JDS0_MOUSE,unreviewed,Serine/threonine-protein kinase Chk2 (Fragment),Chek2,Mus musculus (Mouse),40
Chek2,A0A0G2JDU5,A0A0G2JDU5_MOUSE,unreviewed,Serine/threonine-protein kinase Chk2 (Fragment),Chek2,Mus musculus (Mouse),42
Chek2,A0A0G2JGG6,A0A0G2JGG6_MOUSE,unreviewed,Serine/threonine-protein kinase Chk2,Chek2,Mus musculus (Mouse),207
Chek2,Q543W6,Q543W6_MOUSE,unreviewed,Uncharacterized protein,Chek2,Mus musculus (Mouse),546
Chek2,Q9Z265,CHK2_MOUSE,reviewed,Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Checkpoint kinase 2),Chek2 Chk2 Rad53,Mus musculus (Mouse),546
Chka,D6RG40,D6RG40_MOUSE,unreviewed,Choline kinase alpha,Chka,Mus musculus (Mouse),76
Chka,F6S062,F6S062_MOUSE,unreviewed,Choline kinase alpha (Fragment),Chka,Mus musculus (Mouse),230
Chka,F7AYX1,F7AYX1_MOUSE,unreviewed,Choline kinase alpha (Fragment),Chka,Mus musculus (Mouse),163
Chka,O54804,CHKA_MOUSE,reviewed,Choline kinase alpha (CK) (EC 2.7.1.32) (CHETK-alpha) (Ethanolamine kinase) (EK) (EC 2.7.1.82),Chka Chk,Mus musculus (Mouse),453
Chka,Q3TL82,Q3TL82_MOUSE,unreviewed,Uncharacterized protein,Chka,Mus musculus (Mouse),162
Chka,Q3TLJ9,Q3TLJ9_MOUSE,unreviewed,Uncharacterized protein,Chka,Mus musculus (Mouse),435
Chka,Q5J2U5,Q5J2U5_MOUSE,unreviewed,Choline kinase alpha (Choline kinase alpha 3),Chka,Mus musculus (Mouse),164
Chka,Q99KD4,Q99KD4_MOUSE,unreviewed,Chka protein (Fragment),Chka,Mus musculus (Mouse),266
Chkb,F6RRT7,F6RRT7_MOUSE,unreviewed,Choline/ethanolamine kinase (Fragment),Chkb,Mus musculus (Mouse),176
Chkb,F6SKI6,F6SKI6_MOUSE,unreviewed,Choline/ethanolamine kinase (Fragment),Chkb,Mus musculus (Mouse),164
Chkb,O55229,CHKB_MOUSE,reviewed,Choline/ethanolamine kinase (Choline kinase beta) (CK) (CKB) (EC 2.7.1.32) (Ethanolamine kinase) (EK) (EC 2.7.1.82) (choline/ethanolamine kinase beta) (CKEKB),Chkb Chetk Chkl,Mus musculus (Mouse),394
Chkb,Q54AG5,Q54AG5_MOUSE,unreviewed,Choline/ethanolamine kinase-beta,Chkb Chetk-beta,Mus musculus (Mouse),394
Chkb,Q6NVC1,Q6NVC1_MOUSE,unreviewed,Chkb protein,Chkb CK EK EK-beta,Mus musculus (Mouse),224
Chuk,A0AUV3,A0AUV3_MOUSE,unreviewed,Chuk protein (Fragment),Chuk,Mus musculus (Mouse),306
Chuk,E9Q605,E9Q605_MOUSE,unreviewed,Inhibitor of nuclear factor kappa-B kinase subunit alpha,Chuk,Mus musculus (Mouse),719
Chuk,E9QNL4,E9QNL4_MOUSE,unreviewed,Inhibitor of nuclear factor kappa-B kinase subunit alpha,Chuk,Mus musculus (Mouse),745
Chuk,Q3TPN9,Q3TPN9_MOUSE,unreviewed,Protein kinase domain-containing protein,Chuk,Mus musculus (Mouse),719
Chuk,Q3U2A3,Q3U2A3_MOUSE,unreviewed,Protein kinase domain-containing protein,Chuk,Mus musculus (Mouse),719
Chuk,Q3U2E5,Q3U2E5_MOUSE,unreviewed,Protein kinase domain-containing protein,Chuk,Mus musculus (Mouse),745
Chuk,Q3UDK0,Q3UDK0_MOUSE,unreviewed,Protein kinase domain-containing protein (Fragment),Chuk,Mus musculus (Mouse),671
Chuk,Q60680,IKKA_MOUSE,reviewed,Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA),Chuk Ikka,Mus musculus (Mouse),745
Chuk,Q8CBT3,Q8CBT3_MOUSE,unreviewed,Protein kinase domain-containing protein,Chuk,Mus musculus (Mouse),745
Cit,D3YU89,D3YU89_MOUSE,unreviewed,Citron Rho-interacting kinase (EC 2.7.11.1),Cit,Mus musculus (Mouse),2070
Cit,D3Z1K6,D3Z1K6_MOUSE,unreviewed,Citron Rho-interacting kinase (Fragment),Cit,Mus musculus (Mouse),181
Cit,D3Z1U0,D3Z1U0_MOUSE,unreviewed,Citron Rho-interacting kinase (EC 2.7.11.1),Cit,Mus musculus (Mouse),2028
Cit,D3Z477,D3Z477_MOUSE,unreviewed,Citron Rho-interacting kinase (Fragment),Cit,Mus musculus (Mouse),175
Cit,E9QL53,E9QL53_MOUSE,unreviewed,Citron Rho-interacting kinase (EC 2.7.11.1),Cit,Mus musculus (Mouse),2055
Cit,F6SBR5,F6SBR5_MOUSE,unreviewed,Citron Rho-interacting kinase (EC 2.7.11.1),Cit,Mus musculus (Mouse),2013
Cit,H3BJ74,H3BJ74_MOUSE,unreviewed,Citron Rho-interacting kinase (Fragment),Cit,Mus musculus (Mouse),23
Cit,P49025,CTRO_MOUSE,reviewed,"Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Rho-interacting, serine/threonine-protein kinase 21)",Cit Crik,Mus musculus (Mouse),2055
Clk1,P22518,CLK1_MOUSE,reviewed,Dual specificity protein kinase CLK1 (EC 2.7.12.1) (CDC-like kinase 1) (Protein kinase STY),Clk1 Clk Sty,Mus musculus (Mouse),483
Clk1,Q3UKA7,Q3UKA7_MOUSE,unreviewed,Uncharacterized protein,Clk1,Mus musculus (Mouse),176
Clk2,D3Z4P7,D3Z4P7_MOUSE,unreviewed,Dual-specificity protein kinase CLK2 (Fragment),Clk2,Mus musculus (Mouse),249
Clk2,D3Z7L4,D3Z7L4_MOUSE,unreviewed,Dual-specificity protein kinase CLK2 (Fragment),Clk2,Mus musculus (Mouse),56
Clk2,D6RG48,D6RG48_MOUSE,unreviewed,Dual-specificity protein kinase CLK2,Clk2,Mus musculus (Mouse),136
Clk2,E9Q5Y1,E9Q5Y1_MOUSE,unreviewed,Dual-specificity protein kinase CLK2,Clk2,Mus musculus (Mouse),500
Clk2,F8WHX0,F8WHX0_MOUSE,unreviewed,Dual-specificity protein kinase CLK2,Clk2,Mus musculus (Mouse),498
Clk2,O35491,CLK2_MOUSE,reviewed,Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2),Clk2,Mus musculus (Mouse),499
Clk2,Q3UFP4,Q3UFP4_MOUSE,unreviewed,Protein kinase domain-containing protein (Fragment),Clk2,Mus musculus (Mouse),259
Clk2,Q91YR2,Q91YR2_MOUSE,unreviewed,CDC-like kinase 2,Clk2,Mus musculus (Mouse),498
Clk3,A0A1L1SQT5,A0A1L1SQT5_MOUSE,unreviewed,Dual-specificity protein kinase CLK3 (Fragment),Clk3,Mus musculus (Mouse),191
Clk3,A0A1L1SQZ6,A0A1L1SQZ6_MOUSE,unreviewed,Dual-specificity protein kinase CLK3 (Fragment),Clk3,Mus musculus (Mouse),263
Clk3,A0A1L1SST3,A0A1L1SST3_MOUSE,unreviewed,Dual-specificity protein kinase CLK3 (Fragment),Clk3,Mus musculus (Mouse),478
Clk3,A0A1L1STP6,A0A1L1STP6_MOUSE,unreviewed,Dual-specificity protein kinase CLK3 (Fragment),Clk3,Mus musculus (Mouse),90
Clk3,O35492,CLK3_MOUSE,reviewed,Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3),Clk3,Mus musculus (Mouse),638
Clk3,Q3UWB8,Q3UWB8_MOUSE,unreviewed,Uncharacterized protein,Clk3,Mus musculus (Mouse),134
Clk3,Q9QXE3,Q9QXE3_MOUSE,unreviewed,Cdc2/CDC28-like protein (Fragment),Clk3 clk3,Mus musculus (Mouse),59
Clk4,B0QZP9,B0QZP9_MOUSE,unreviewed,Dual-specificity protein kinase CLK4 (Fragment),Clk4,Mus musculus (Mouse),183
Clk4,D6RH46,D6RH46_MOUSE,unreviewed,Dual-specificity protein kinase CLK4,Clk4,Mus musculus (Mouse),79
Clk4,F2Z3V2,F2Z3V2_MOUSE,unreviewed,Dual-specificity protein kinase CLK4,Clk4,Mus musculus (Mouse),105
Clk4,O35493,CLK4_MOUSE,reviewed,Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4),Clk4,Mus musculus (Mouse),481
Clk4,O35611,O35611_MOUSE,unreviewed,Cdc2/CDC28-like kinase 4 (Fragment),Clk4,Mus musculus (Mouse),47
Clk4,Q4FJV9,Q4FJV9_MOUSE,unreviewed,Clk4 protein,Clk4,Mus musculus (Mouse),481
Coq8a,A0A0A6YVT9,A0A0A6YVT9_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),17
Coq8a,A0A0A6YXD9,A0A0A6YXD9_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial",Coq8a Adck3,Mus musculus (Mouse),111
Coq8a,A0A0A6YXI0,A0A0A6YXI0_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),60
Coq8a,E0CXI5,E0CXI5_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),22
Coq8a,E0CXR1,E0CXR1_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial",Coq8a Adck3,Mus musculus (Mouse),139
Coq8a,E0CXR6,E0CXR6_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),117
Coq8a,E0CXT4,E0CXT4_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),108
Coq8a,E0CYC1,E0CYC1_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),130
Coq8a,E0CYD3,E0CYD3_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial",Coq8a Adck3,Mus musculus (Mouse),70
Coq8a,E0CYG7,E0CYG7_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial",Coq8a Adck3,Mus musculus (Mouse),71
Coq8a,E0CYT4,E0CYT4_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),71
Coq8a,E0CZ05,E0CZ05_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),105
Coq8a,F6T0A8,F6T0A8_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),149
Coq8a,F7B1B6,F7B1B6_MOUSE,unreviewed,"Atypical kinase COQ8A, mitochondrial (Fragment)",Coq8a Adck3,Mus musculus (Mouse),401
Coq8a,Q60936,COQ8A_MOUSE,reviewed,"Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)",Coq8a Adck3 Cabc1,Mus musculus (Mouse),645
Coq8b,A0A0R4J1X1,A0A0R4J1X1_MOUSE,unreviewed,"Atypical kinase COQ8B, mitochondrial",Coq8b Adck4,Mus musculus (Mouse),304
Coq8b,E9QLB8,E9QLB8_MOUSE,unreviewed,"Atypical kinase COQ8B, mitochondrial",Coq8b Adck4,Mus musculus (Mouse),533
Coq8b,Q566J8,COQ8B_MOUSE,reviewed,"Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)",Coq8b Adck4,Mus musculus (Mouse),533
Csf1r,A0A494BA23,A0A494BA23_MOUSE,unreviewed,Macrophage colony-stimulating factor 1 receptor (Fragment),Csf1r,Mus musculus (Mouse),103
Csf1r,A0A494BBK8,A0A494BBK8_MOUSE,unreviewed,Macrophage colony-stimulating factor 1 receptor (Fragment),Csf1r,Mus musculus (Mouse),139
Csf1r,P09581,CSF1R_MOUSE,reviewed,Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115),Csf1r Csfmr Fms,Mus musculus (Mouse),977
Csf1r,Q0P635,Q0P635_MOUSE,unreviewed,Colony stimulating factor 1 receptor,Csf1r,Mus musculus (Mouse),977
Csf1r,Q3TAZ7,Q3TAZ7_MOUSE,unreviewed,Uncharacterized protein,Csf1r,Mus musculus (Mouse),551
Csf1r,Q3TBH6,Q3TBH6_MOUSE,unreviewed,Uncharacterized protein,Csf1r,Mus musculus (Mouse),507
Csf1r,Q3U1X4,Q3U1X4_MOUSE,unreviewed,Uncharacterized protein (Fragment),Csf1r,Mus musculus (Mouse),945
Csf1r,Q3U1Y3,Q3U1Y3_MOUSE,unreviewed,Uncharacterized protein,Csf1r,Mus musculus (Mouse),977
Csf1r,Q3U210,Q3U210_MOUSE,unreviewed,Uncharacterized protein,Csf1r,Mus musculus (Mouse),977
Csf1r,Q3U3W0,Q3U3W0_MOUSE,unreviewed,Uncharacterized protein,Csf1r,Mus musculus (Mouse),977
Csf1r,Q3U4N8,Q3U4N8_MOUSE,unreviewed,Uncharacterized protein (Fragment),Csf1r,Mus musculus (Mouse),922
Csf1r,Q3UKC6,Q3UKC6_MOUSE,unreviewed,Uncharacterized protein,Csf1r,Mus musculus (Mouse),977
Csf1r,Q6NXV8,Q6NXV8_MOUSE,unreviewed,Colony stimulating factor 1 receptor,Csf1r,Mus musculus (Mouse),977
Csk,A0A1L1SQQ5,A0A1L1SQQ5_MOUSE,unreviewed,Tyrosine-protein kinase CSK (Fragment),Csk,Mus musculus (Mouse),91
Csk,A0A1L1SR46,A0A1L1SR46_MOUSE,unreviewed,Tyrosine-protein kinase CSK (Fragment),Csk,Mus musculus (Mouse),108
Csk,A0A1L1STA1,A0A1L1STA1_MOUSE,unreviewed,Tyrosine-protein kinase CSK (Fragment),Csk,Mus musculus (Mouse),139
Csk,P41241,CSK_MOUSE,reviewed,Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase MPK-2) (p50CSK),Csk,Mus musculus (Mouse),450
Csk,Q3UVH2,Q3UVH2_MOUSE,unreviewed,Tyrosine-protein kinase (EC 2.7.10.2),Csk,Mus musculus (Mouse),450
Csk,Q8BIS9,Q8BIS9_MOUSE,unreviewed,Protein kinase domain-containing protein (Fragment),Csk,Mus musculus (Mouse),215
Csnk1a1,E9PWB2,E9PWB2_MOUSE,unreviewed,Casein kinase I isoform alpha,Csnk1a1,Mus musculus (Mouse),374
Csnk1a1,E9Q2U6,E9Q2U6_MOUSE,unreviewed,Casein kinase I isoform alpha,Csnk1a1,Mus musculus (Mouse),353
Csnk1a1,E9Q3W1,E9Q3W1_MOUSE,unreviewed,Casein kinase I isoform alpha,Csnk1a1,Mus musculus (Mouse),365
Csnk1a1,E9Q4G7,E9Q4G7_MOUSE,unreviewed,Casein kinase I isoform alpha,Csnk1a1,Mus musculus (Mouse),336
Csnk1a1,F6YBC9,F6YBC9_MOUSE,unreviewed,Casein kinase I isoform alpha (Fragment),Csnk1a1,Mus musculus (Mouse),159
Csnk1a1,H7BXB1,H7BXB1_MOUSE,unreviewed,Casein kinase I isoform alpha,Csnk1a1,Mus musculus (Mouse),334
Csnk1a1,Q3TVX1,Q3TVX1_MOUSE,unreviewed,Protein kinase domain-containing protein (Fragment),Csnk1a1,Mus musculus (Mouse),204
Csnk1a1,Q3U772,Q3U772_MOUSE,unreviewed,Protein kinase domain-containing protein,Csnk1a1,Mus musculus (Mouse),337
Csnk1a1,Q3U844,Q3U844_MOUSE,unreviewed,Protein kinase domain-containing protein,Csnk1a1,Mus musculus (Mouse),325
Csnk1a1,Q6PJ87,Q6PJ87_MOUSE,unreviewed,"Casein kinase 1, alpha 1",Csnk1a1,Mus musculus (Mouse),325
