Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 8uL_5hr	Razor + unique peptides 8uL_5hr	Unique peptides 8uL_5hr	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 8uL_5hr	Reporter intensity corrected 2 8uL_5hr	Reporter intensity corrected 3 8uL_5hr	Reporter intensity corrected 4 8uL_5hr	Reporter intensity corrected 5 8uL_5hr	Reporter intensity corrected 6 8uL_5hr	Reporter intensity 1 8uL_5hr	Reporter intensity 2 8uL_5hr	Reporter intensity 3 8uL_5hr	Reporter intensity 4 8uL_5hr	Reporter intensity 5 8uL_5hr	Reporter intensity 6 8uL_5hr	Reporter intensity count 1 8uL_5hr	Reporter intensity count 2 8uL_5hr	Reporter intensity count 3 8uL_5hr	Reporter intensity count 4 8uL_5hr	Reporter intensity count 5 8uL_5hr	Reporter intensity count 6 8uL_5hr	Sequence coverage 8uL_5hr [%]	Intensity	Intensity 8uL_5hr	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
O08795	O08795	2	2	2	Glucosidase 2 subunit beta	Prkcsh	sp|O08795|GLU2B_MOUSE Glucosidase 2 subunit beta OS=Mus musculus GN=Prkcsh PE=1 SV=1	1	2	2	2	2	2	2	3.6	3.6	3.6	58.792	521	521	0	12.34	1594.2	2239.5	2289.7	2665.4	2300.7	695.28	1545.8	2177.6	2335.1	2693.6	2296.8	717.7	1	1	1	1	1	1	1594.2	2239.5	2289.7	2665.4	2300.7	695.28	1545.8	2177.6	2335.1	2693.6	2296.8	717.7	1	1	1	1	1	1	3.6	3330000	3330000	2				80	2230;3686	True;True	2330;3853	3129;5305	4234;7342	4234;7342		
O08807	O08807	3	2	2	Peroxiredoxin-4	Prdx4	sp|O08807|PRDX4_MOUSE Peroxiredoxin-4 OS=Mus musculus GN=Prdx4 PE=1 SV=1	1	3	2	2	3	2	2	9.5	6.6	6.6	31.052	274	274	0	12.63	39277	41784	36016	36745	47160	17098	37827	41107	37049	37784	46472	17391	3	3	3	3	3	3	39277	41784	36016	36745	47160	17098	37827	41107	37049	37784	46472	17391	3	3	3	3	3	3	9.5	29812000	29812000	3				81	2972;5928;6896	False;True;True	3105;6228;7225	4265;8636;10021	5909;5910;5911;11885;11886;13775	5911;11886;13775		
O08810	O08810	8	8	8	116 kDa U5 small nuclear ribonucleoprotein component	Eftud2	sp|O08810|U5S1_MOUSE 116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus GN=Eftud2 PE=1 SV=1	1	8	8	8	8	8	8	10	10	10	109.36	971	971	0	54.557	38654	38703	35727	33200	54845	15159	37180	38231	36543	34626	53532	15775	8	8	8	8	8	8	38654	38703	35727	33200	54845	15159	37180	38231	36543	34626	53532	15775	8	8	8	8	8	8	10	56375000	56375000	9				82	1300;2516;2908;3657;3660;6874;6969;7230	True;True;True;True;True;True;True;True	1367;2636;3038;3824;3827;7201;7301;7569	1820;3588;4174;5266;5269;9992;10123;10483	2444;4931;5795;7297;7301;13731;13732;13918;14375	2444;4931;5795;7297;7301;13732;13918;14375		
O08848	O08848	1	1	1	60 kDa SS-A/Ro ribonucleoprotein	Trove2	sp|O08848|RO60_MOUSE 60 kDa SS-A/Ro ribonucleoprotein OS=Mus musculus GN=Trove2 PE=1 SV=1	1	1	1	1	1	1	1	2	2	2	60.123	538	538	0.0088925	6.081	7272.1	7041.4	6385.5	5887.5	8629.5	2586	6990.2	6968	6536.9	6112.5	8454.8	2671.3	1	1	1	1	1	1	7272.1	7041.4	6385.5	5887.5	8629.5	2586	6990.2	6968	6536.9	6112.5	8454.8	2671.3	1	1	1	1	1	1	2	3054600	3054600	1				83	4444	True	4643	6430	8896	8896		
O08908	O08908	11	9	9	Phosphatidylinositol 3-kinase regulatory subunit beta	Pik3r2	sp|O08908|P85B_MOUSE Phosphatidylinositol 3-kinase regulatory subunit beta OS=Mus musculus GN=Pik3r2 PE=1 SV=2	1	11	9	9	11	9	9	16.6	14.1	14.1	81.265	722	722	0	57.65	19573	44785	24629	21588	24371	6511.5	19314	42619	26242	22267	24046	6798.7	5	5	5	5	5	5	19573	44785	24629	21588	24371	6511.5	19314	42619	26242	22267	24046	6798.7	5	5	5	5	5	5	16.6	50491000	50491000	9				84	536;2116;2474;2719;4675;5639;6996;7002;7354;7403;7566	True;True;True;True;False;True;False;True;True;True;True	568;2215;2591;2845;4886;5929;7328;7334;7702;7751;7927	781;2979;3528;3900;6755;8257;10160;10161;10162;10163;10170;10670;10730;11002	1086;4031;4847;5393;9337;11388;13968;13969;13970;13971;13972;13979;14651;14731;15113	1086;4031;4847;5393;9337;11388;13972;13979;14651;14731;15113	65	562
O09110;P70236	O09110	4;1	4;1	4;1	Dual specificity mitogen-activated protein kinase kinase 3	Map2k3	sp|O09110|MP2K3_MOUSE Dual specificity mitogen-activated protein kinase kinase 3 OS=Mus musculus GN=Map2k3 PE=1 SV=2	2	4	4	4	4	4	4	9.5	9.5	9.5	39.296	347	347;334	0	25.499	39786	35986	27023	21159	42406	8411.3	38195	35703	27979	22474	41117	9081.5	3	3	3	3	3	3	39786	35986	27023	21159	42406	8411.3	38195	35703	27979	22474	41117	9081.5	3	3	3	3	3	3	9.5	37001000	37001000	4				85	749;2694;7039;7123	True;True;True;True	787;2820;7372;7460	1067;3868;10217;10333	1467;5348;14040;14182	1467;5348;14040;14182		
O09167	O09167	7	7	7	60S ribosomal protein L21	Rpl21	sp|O09167|RL21_MOUSE 60S ribosomal protein L21 OS=Mus musculus GN=Rpl21 PE=1 SV=3	1	7	7	7	7	7	7	38.8	38.8	38.8	18.562	160	160	0	42.529	71889	75566	62264	71994	87390	32808	69217	74360	64391	73492	86299	33286	7	7	7	7	7	7	71889	75566	62264	71994	87390	32808	69217	74360	64391	73492	86299	33286	7	7	7	7	7	7	38.8	149590000	149590000	7				86	2044;2725;3020;3228;3337;3980;8207	True;True;True;True;True;True;True	2142;2851;3156;3375;3486;4164;8592	2889;3907;4327;4625;4777;5729;11977	3918;5404;6000;6422;6616;7922;16505	3918;5404;6000;6422;6616;7922;16505	66	159
O35075	O35075	2	2	2	Down syndrome critical region protein 3 homolog	Dscr3	sp|O35075|DSCR3_MOUSE Down syndrome critical region protein 3 homolog OS=Mus musculus GN=Dscr3 PE=1 SV=1	1	2	2	2	2	2	2	10.4	10.4	10.4	32.97	297	297	0	15.331	1480.4	1687.9	1724.9	1182.2	2354	442.63	1427.9	1657.2	1746.4	1265.5	2282	481.25	2	2	2	2	2	2	1480.4	1687.9	1724.9	1182.2	2354	442.63	1427.9	1657.2	1746.4	1265.5	2282	481.25	2	2	2	2	2	2	10.4	5844000	5844000	2				87	4987;7107	True;True	5209;7443	7217;10309	9976;14151	9976;14151		
O35129	O35129	19	19	19	Prohibitin-2	Phb2	sp|O35129|PHB2_MOUSE Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1	1	19	19	19	19	19	19	64.2	64.2	64.2	33.296	299	299	0	189.76	358770	353920	305790	331520	261460	76883	344990	349690	314700	335340	262060	79532	34	34	34	34	34	33	358770	353920	305790	331520	261460	76883	344990	349690	314700	335340	262060	79532	34	34	34	34	34	33	64.2	1467600000	1467600000	37				88	74;583;616;1176;2175;2332;2501;3019;3133;3572;3843;3908;3933;4442;5197;6151;7185;7886;7906	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	77;617;651;1236;2274;2441;2621;3155;3278;3733;4020;4088;4115;4641;5439;6457;7522;8259;8279	97;850;851;893;1649;1650;3050;3283;3284;3570;3571;4326;4494;5100;5543;5638;5639;5674;6427;7516;7517;8954;10416;11500;11501;11528	138;139;1180;1181;1182;1183;1235;2219;2220;4127;4128;4450;4451;4452;4453;4904;4905;5999;6236;7063;7064;7686;7687;7813;7814;7815;7854;8891;8892;10370;10371;10372;12320;14286;15849;15850;15883	138;1180;1235;2220;4127;4451;4904;5999;6236;7064;7687;7814;7854;8891;10370;12320;14286;15849;15883		
O35250	O35250	4	4	4	Exocyst complex component 7	Exoc7	sp|O35250|EXOC7_MOUSE Exocyst complex component 7 OS=Mus musculus GN=Exoc7 PE=1 SV=2	1	4	4	4	4	4	4	7.3	7.3	7.3	79.959	697	697	0	33.811	12837	13272	15027	13978	14547	3872.4	12356	13115	15182	14339	14395	4044.6	4	4	4	4	4	4	12837	13272	15027	13978	14547	3872.4	12356	13115	15182	14339	14395	4044.6	4	4	4	4	4	4	7.3	26994000	26994000	4				89	391;778;5482;6394	True;True;True;True	413;818;5763;6712	552;1107;8009;9303	776;1523;11049;12800	776;1523;11049;12800		
O35280	O35280	3	3	3	Serine/threonine-protein kinase Chk1	Chek1	sp|O35280|CHK1_MOUSE Serine/threonine-protein kinase Chk1 OS=Mus musculus GN=Chek1 PE=1 SV=2	1	3	3	3	3	3	3	6.1	6.1	6.1	54.381	476	476	0	20.747	59476	55799	39369	28940	58781	23046	57135	55208	40931	30897	57322	23310	6	6	6	6	6	6	59476	55799	39369	28940	58781	23046	57135	55208	40931	30897	57322	23310	6	6	6	6	6	6	6.1	24918000	24918000	6				90	3807;3864;4862	True;True;True	3983;4042;5082	5481;5482;5581;7034;7035	7587;7588;7745;9713;9714;9715	7587;7745;9714		
O35286	O35286	1	1	1	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	Dhx15	sp|O35286|DHX15_MOUSE Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus GN=Dhx15 PE=1 SV=2	1	1	1	1	1	1	1	1.4	1.4	1.4	91.006	795	795	0	7.0572	2921.9	2174.6	2374.9	2898.5	3633.3	676.47	2795.9	2195	2416.4	2954.4	3563.6	736.47	1	1	1	1	1	1	2921.9	2174.6	2374.9	2898.5	3633.3	676.47	2795.9	2195	2416.4	2954.4	3563.6	736.47	1	1	1	1	1	1	1.4	1547200	1547200	1				91	7695	True	8060	11191	15395	15395		
O35295	O35295	3	3	3	Transcriptional activator protein Pur-beta	Purb	sp|O35295|PURB_MOUSE Transcriptional activator protein Pur-beta OS=Mus musculus GN=Purb PE=1 SV=3	1	3	3	3	3	3	3	18.5	18.5	18.5	33.901	324	324	0	45.784	6349.4	5531.1	7170.7	8678.5	7192.8	2490.3	6091.3	5532.4	7229.4	8748.8	7203.4	2541.8	4	4	4	4	4	4	6349.4	5531.1	7170.7	8678.5	7192.8	2490.3	6091.3	5532.4	7229.4	8748.8	7203.4	2541.8	4	4	4	4	4	4	18.5	13457000	13457000	4				92	2860;2862;5307	True;True;True	2989;2991;5577	4079;4081;7723	5646;5648;5649;10657	5646;5649;10657		
O35326	O35326	5	5	4	Serine/arginine-rich splicing factor 5	Srsf5	sp|O35326|SRSF5_MOUSE Serine/arginine-rich splicing factor 5 OS=Mus musculus GN=Srsf5 PE=1 SV=2	1	5	5	4	5	5	4	22.7	22.7	19.3	30.891	269	269	0	38.1	33107	34276	33040	33426	47770	10742	31866	33808	33744	34508	46727	11423	5	5	5	5	5	5	33107	34276	33040	33426	47770	10742	31866	33808	33744	34508	46727	11423	5	5	5	5	5	5	22.7	79478000	79478000	5				93	869;2819;4549;4689;5749	True;True;True;True;True	915;2948;4756;4900;6040	1218;4027;6594;6792;8400	1659;5565;9113;9392;11583	1659;5565;9113;9392;11583		
O35343	O35343	1	1	1	Importin subunit alpha-3	Kpna4	sp|O35343|IMA3_MOUSE Importin subunit alpha-3 OS=Mus musculus GN=Kpna4 PE=1 SV=1	1	1	1	1	1	1	1	5.6	5.6	5.6	57.922	521	521	0	13.973	265.41	263.71	196.7	177.78	825.74	0	255.25	260.13	204.63	200.1	786.62	0	1	1	1	1	1	0	265.41	263.71	196.7	177.78	825.74	0	255.25	260.13	204.63	200.1	786.62	0	1	1	1	1	1	0	5.6	3252300	3252300	1				94	8032	True	8411	11711	16119	16119		
O35345;Q60960	O35345;Q60960	1;1	1;1	1;1	Importin subunit alpha-7;Importin subunit alpha-5;Importin subunit alpha-5, N-terminally processed	Kpna6;Kpna1	sp|O35345|IMA7_MOUSE Importin subunit alpha-7 OS=Mus musculus GN=Kpna6 PE=1 SV=2;sp|Q60960|IMA5_MOUSE Importin subunit alpha-5 OS=Mus musculus GN=Kpna1 PE=1 SV=2	2	1	1	1	1	1	1	2.8	2.8	2.8	59.964	536	536;538	0	13.499	6546.2	7653.3	5900.7	6492.2	8221.7	2987	6317.8	7484.7	6126.4	6650.4	8105.3	3037.7	2	2	2	2	2	2	6546.2	7653.3	5900.7	6492.2	8221.7	2987	6317.8	7484.7	6126.4	6650.4	8105.3	3037.7	2	2	2	2	2	2	2.8	3739200	3739200	2				95	3514	True	3673	5015	6938;6939	6939		
O35382	O35382	4	4	4	Exocyst complex component 4	Exoc4	sp|O35382|EXOC4_MOUSE Exocyst complex component 4 OS=Mus musculus GN=Exoc4 PE=1 SV=2	1	4	4	4	4	4	4	5.1	5.1	5.1	110.54	975	975	0	26.639	3339.2	4506.5	3901.2	3979.3	5117.7	1629.5	3234.3	4382.1	4012	4091.7	5035.9	1674.5	2	2	2	2	2	2	3339.2	4506.5	3901.2	3979.3	5117.7	1629.5	3234.3	4382.1	4012	4091.7	5035.9	1674.5	2	2	2	2	2	2	5.1	5305200	5305200	4				96	2795;6515;6755;6886	True;True;True;True	2924;6836;7081;7214	3998;9460;9820;10010	5528;13015;13495;13761	5528;13015;13495;13761		
O35459	O35459	14	14	14	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial	Ech1	sp|O35459|ECH1_MOUSE Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus GN=Ech1 PE=1 SV=1	1	14	14	14	14	14	14	54.4	54.4	54.4	36.118	327	327	0	291.11	276980	266530	451880	701240	353450	87782	266210	266030	453060	694340	363580	92297	57	57	57	57	57	55	276980	266530	451880	701240	353450	87782	266210	266030	453060	694340	363580	92297	57	57	57	57	57	55	54.4	2864100000	2864100000	61				97	525;815;898;1969;2244;3425;3741;5170;5215;6714;6932;7133;7792;8325	True;True;True;True;True;True;True;True;True;True;True;True;True;True	553;858;947;2060;2345;2346;3579;3914;5408;5409;5464;5465;7039;7262;7263;7470;8161;8718	741;742;1155;1266;2781;2782;3152;3153;3154;3155;3156;3157;4885;4886;5381;7477;7478;7576;7577;7578;7579;9764;9765;10067;10068;10069;10070;10345;10346;11327;11328;11329;12155;12156	1019;1020;1021;1587;1588;1729;3765;3766;3767;3768;4268;4269;4270;4271;4272;4273;4274;4275;4276;4277;6760;6761;6762;6763;7446;10320;10321;10462;10463;10464;10465;10466;10467;10468;10469;10470;10471;13420;13421;13422;13423;13424;13838;13839;13840;13841;13842;13843;14197;14198;14199;14200;15593;15594;15595;16778;16779;16780;16781;16782;16783	1020;1588;1729;3765;4274;6760;7446;10321;10471;13422;13840;14200;15593;16779	67;68;69;70;71;72	120;122;199;231;232;314
O35465	O35465	1	1	1	Peptidyl-prolyl cis-trans isomerase FKBP8	Fkbp8	sp|O35465|FKBP8_MOUSE Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Mus musculus GN=Fkbp8 PE=1 SV=2	1	1	1	1	1	1	1	2	2	2	43.528	402	402	0	6.9061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1				98	6856	True	7182	9956	13686	13686		
O35491	O35491	3	3	3	Dual specificity protein kinase CLK2	Clk2	sp|O35491|CLK2_MOUSE Dual specificity protein kinase CLK2 OS=Mus musculus GN=Clk2 PE=1 SV=2	1	3	3	3	3	3	3	7	7	7	59.986	499	499	0	19.575	16387	16112	12662	11118	15815	4504.4	15756	15909	13081	11558	15501	4674.5	4	4	4	4	4	4	16387	16112	12662	11118	15815	4504.4	15756	15909	13081	11558	15501	4674.5	4	4	4	4	4	4	7	14638000	14638000	5				99	2757;4253;8363	True;True;True	2885;4448;8756	3953;6119;12205;12206	5471;8447;16865;16866;16867	5471;8447;16865		
O35492	O35492	3	3	3	Dual specificity protein kinase CLK3	Clk3	sp|O35492|CLK3_MOUSE Dual specificity protein kinase CLK3 OS=Mus musculus GN=Clk3 PE=1 SV=2	1	3	3	3	3	3	3	5.3	5.3	5.3	73.797	638	638	0	21.597	23037	20532	16814	12984	24315	6251.1	22110	20405	17293	13758	23652	6552	4	4	4	4	4	4	23037	20532	16814	12984	24315	6251.1	22110	20405	17293	13758	23652	6552	4	4	4	4	4	4	5.3	15888000	15888000	4				100	2873;4299;8362	True;True;True	3002;4495;8755	4114;6180;12204	5702;8532;16863;16864	5702;8532;16864		
O35495	O35495	10	9	9	Cyclin-dependent kinase 14	Cdk14	sp|O35495|CDK14_MOUSE Cyclin-dependent kinase 14 OS=Mus musculus GN=Cdk14 PE=1 SV=2	1	10	9	9	10	9	9	23.9	22.2	22.2	52.995	469	469	0	81.902	107050	101670	128620	110310	94596	31358	102860	101100	129060	113090	94545	32117	12	12	12	12	12	12	107050	101670	128620	110310	94596	31358	102860	101100	129060	113090	94545	32117	12	12	12	12	12	12	23.9	163760000	163760000	12				101	1597;3350;4100;4414;4783;4934;5322;7279;7379;7780	True;True;False;True;True;True;True;True;True;True	1679;3499;4288;4613;4999;5154;5592;7623;7727;8147	2280;4791;5892;5893;6357;6928;7132;7746;10560;10700;10701;11307	3073;6631;8125;8126;8127;8128;8129;8781;8782;9575;9852;10683;14490;14491;14691;14692;15554	3073;6631;8128;8782;9575;9852;10683;14491;14692;15554		
O35607	O35607	9	9	9	Bone morphogenetic protein receptor type-2	Bmpr2	sp|O35607|BMPR2_MOUSE Bone morphogenetic protein receptor type-2 OS=Mus musculus GN=Bmpr2 PE=1 SV=1	1	9	9	9	9	9	9	11.8	11.8	11.8	115.02	1038	1038	0	65.13	68998	66764	65676	62545	70655	28279	66322	66124	66910	64258	69995	28563	9	9	9	9	9	9	68998	66764	65676	62545	70655	28279	66322	66124	66910	64258	69995	28563	9	9	9	9	9	9	11.8	62540000	62540000	11				102	1246;2038;2099;5540;5856;6829;6943;7995;8470	True;True;True;True;True;True;True;True;True	1312;2136;2198;5825;6152;7155;7274;8374;8867	1753;1754;2883;2959;8095;8539;9924;10086;11652;12351	2361;2362;2363;3911;4007;11166;11755;13650;13863;16041;17068	2362;3911;4007;11166;11755;13650;13863;16041;17068		
O35691	O35691	1	1	1	Pinin	Pnn	sp|O35691|PININ_MOUSE Pinin OS=Mus musculus GN=Pnn PE=1 SV=4	1	1	1	1	1	1	1	1.2	1.2	1.2	82.435	725	725	0.0050505	6.3643	3523.7	3054.9	2926.2	2638.9	2362.4	896.7	3380.2	3045.9	2982.8	2701.2	2360.1	909.04	1	1	1	1	1	1	3523.7	3054.9	2926.2	2638.9	2362.4	896.7	3380.2	3045.9	2982.8	2701.2	2360.1	909.04	1	1	1	1	1	1	1.2	3195700	3195700	1				103	5834	True	6130	8515	11721	11721		
O35737	O35737	14	14	7	Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed	Hnrnph1	sp|O35737|HNRH1_MOUSE Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus GN=Hnrnph1 PE=1 SV=3	1	14	14	7	14	14	7	41.2	41.2	20.9	49.199	449	449	0	266.12	227700	215730	228300	214180	198210	59210	218780	214100	231510	218940	197250	61168	42	42	42	42	42	41	227700	215730	228300	214180	198210	59210	218780	214100	231510	218940	197250	61168	42	42	42	42	42	41	41.2	1119100000	1119100000	45				104	709;2693;2987;2992;3415;3786;5196;5216;5700;6662;6862;7177;7776;8109	True;True;True;True;True;True;True;True;True;True;True;True;True;True	745;2819;3120;3125;3569;3960;5438;5466;5467;5468;5991;6986;6987;7188;7514;8143;8488	1010;1011;3867;4282;4287;4873;4874;5448;7515;7580;7581;7582;7583;8338;8339;9693;9694;9695;9696;9697;9965;9966;9967;10404;11300;11301;11302;11808;11809;11810;11811;11812	1392;1393;1394;1395;5345;5346;5347;5937;5938;5945;6745;6746;7543;7544;10369;10472;10473;10474;10475;10476;10477;11504;11505;11506;13336;13337;13338;13339;13340;13341;13342;13699;13700;13701;13702;14273;15545;15546;15547;15548;16241;16242;16243;16244;16245	1393;5346;5938;5945;6746;7544;10369;10476;11505;13339;13700;14273;15546;16243	73;74;75	1;2;93
O35857	O35857	4	4	4	Mitochondrial import inner membrane translocase subunit TIM44	Timm44	sp|O35857|TIM44_MOUSE Mitochondrial import inner membrane translocase subunit TIM44 OS=Mus musculus GN=Timm44 PE=1 SV=2	1	4	4	4	4	4	4	10.2	10.2	10.2	51.091	452	452	0	23.346	12749	14556	15031	16662	16815	5816.4	12298	14292	15308	16942	16699	5937.3	3	3	3	3	3	3	12749	14556	15031	16662	16815	5816.4	12298	14292	15308	16942	16699	5937.3	3	3	3	3	3	3	10.2	11307000	11307000	4				105	2143;3663;7712;8333	True;True;True;True	2242;3830;8077;8726	3009;5273;11211;12166	4072;7305;15421;16793	4072;7305;15421;16793		
O35887	O35887	6	6	6	Calumenin	Calu	sp|O35887|CALU_MOUSE Calumenin OS=Mus musculus GN=Calu PE=1 SV=1	1	6	6	6	6	6	6	25.1	25.1	25.1	37.063	315	315	0	52.179	41779	45692	46231	48628	49807	23414	40260	44955	47095	49590	49622	23411	6	6	6	6	6	6	41779	45692	46231	48628	49807	23414	40260	44955	47095	49590	49622	23411	6	6	6	6	6	6	25.1	73900000	73900000	6				106	1083;2080;2902;3368;6419;7777	True;True;True;True;True;True	1139;2179;3032;3518;6737;8144	1507;2934;4167;4813;9330;11303	2037;3973;5788;6663;12834;15549	2037;3973;5788;6663;12834;15549		
O35945	O35945	14	14	9	Aldehyde dehydrogenase, cytosolic 1	Aldh1a7	sp|O35945|AL1A7_MOUSE Aldehyde dehydrogenase, cytosolic 1 OS=Mus musculus GN=Aldh1a7 PE=1 SV=1	1	14	14	9	14	14	9	33.3	33.3	23.2	54.587	501	501	0	116.47	110830	102250	116540	89734	546890	122990	106430	101730	117810	105620	523600	130790	29	29	29	29	29	29	110830	102250	116540	89734	546890	122990	106430	101730	117810	105620	523600	130790	29	29	29	29	29	29	33.3	351170000	351170000	32				107	457;510;1645;1903;3680;4381;4627;5747;6810;7296;7469;8061;8119;8419	True;True;True;True;True;True;True;True;True;True;True;True;True;True	479;537;1727;1728;1993;3847;4578;4838;6038;7136;7640;7824;8440;8499;8813	642;719;2339;2340;2341;2690;5295;5296;5297;5298;6301;6690;8397;9898;9899;10585;10844;10845;11744;11825;11826;12281	895;991;992;3153;3154;3155;3156;3626;3627;7330;7331;7332;7333;8701;9240;11579;11580;13611;13612;13613;13614;13615;14526;14900;14901;16159;16160;16264;16265;16266;16975;16976	895;992;3155;3627;7331;8701;9240;11580;13611;14526;14900;16160;16265;16976	76;77	80;409
O35972	O35972	1	1	1	39S ribosomal protein L23, mitochondrial	Mrpl23	sp|O35972|RM23_MOUSE 39S ribosomal protein L23, mitochondrial OS=Mus musculus GN=Mrpl23 PE=1 SV=1	1	1	1	1	1	1	1	10.3	10.3	10.3	17.121	146	146	0.0050209	6.3403	1285.2	1483.7	1452.4	1967.5	6281.4	429.22	1240	1455.1	1494	2102.2	6020.6	576.17	1	1	1	1	1	1	1285.2	1483.7	1452.4	1967.5	6281.4	429.22	1240	1455.1	1494	2102.2	6020.6	576.17	1	1	1	1	1	1	10.3	2509100	2509100	1				108	5591	True	5878	8166	11256	11256		
O54692	O54692	4	4	4	Centromere/kinetochore protein zw10 homolog	Zw10	sp|O54692|ZW10_MOUSE Centromere/kinetochore protein zw10 homolog OS=Mus musculus GN=Zw10 PE=1 SV=3	1	4	4	4	4	4	4	5.5	5.5	5.5	88.062	779	779	0	25.102	16111	18652	15063	14425	17276	5686.2	15546	18257	15548	14841	17044	5827.3	4	4	4	4	4	4	16111	18652	15063	14425	17276	5686.2	15546	18257	15548	14841	17044	5827.3	4	4	4	4	4	4	5.5	16110000	16110000	5				109	410;3062;3857;5034	True;True;True;True	432;3202;4035;5258	584;4389;5570;7284;7285	824;6088;7731;10069;10070	824;6088;7731;10069		
O54724	O54724	7	7	7	Polymerase I and transcript release factor	Ptrf	sp|O54724|PTRF_MOUSE Polymerase I and transcript release factor OS=Mus musculus GN=Ptrf PE=1 SV=1	1	7	7	7	7	7	7	24.5	24.5	24.5	43.953	392	392	0	52.514	41768	46867	44181	39251	65028	15893	40273	46015	45099	41031	63405	16746	7	7	7	7	7	7	41768	46867	44181	39251	65028	15893	40273	46015	45099	41031	63405	16746	7	7	7	7	7	7	24.5	62854000	62854000	8				110	300;705;707;2129;3623;5744;7928	True;True;True;True;True;True;True	314;741;743;2228;3786;6035;8306	415;1005;1008;2994;5182;8394;11567	583;584;1386;1390;4051;7182;11576;15932	584;1386;1390;4051;7182;11576;15932		
O54734	O54734	1	1	1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	Ddost	sp|O54734|OST48_MOUSE Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Mus musculus GN=Ddost PE=1 SV=2	1	1	1	1	1	1	1	2	2	2	49.027	441	441	0.0081301	6.1127	13380	16090	16334	15234	19368	15035	12922	15755	16607	15742	19333	14688	1	1	1	1	1	1	13380	16090	16334	15234	19368	15035	12922	15755	16607	15742	19333	14688	1	1	1	1	1	1	2	13940000	13940000	1				111	6806	True	7132	9890	13601	13601		
O54781	O54781	6	5	5	SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal	Srpk2	sp|O54781|SRPK2_MOUSE SRSF protein kinase 2 OS=Mus musculus GN=Srpk2 PE=1 SV=2	1	6	5	5	6	5	5	11.3	10.3	10.3	76.756	681	681	0	39.359	21589	21222	22738	19052	23891	8202.7	20758	21018	23010	19769	23545	8356.8	5	5	5	5	5	4	21589	21222	22738	19052	23891	8202.7	20758	21018	23010	19769	23545	8356.8	5	5	5	5	5	4	11.3	31316000	31316000	6				112	18;19;3671;4786;5743;6678	True;True;True;True;False;True	19;20;3838;5003;6034;7003	21;22;5284;5285;6935;8393;9714	32;33;7318;7319;9584;11575;13361	32;33;7318;9584;11575;13361		
O54784	O54784	6	6	6	Death-associated protein kinase 3	Dapk3	sp|O54784|DAPK3_MOUSE Death-associated protein kinase 3 OS=Mus musculus GN=Dapk3 PE=1 SV=1	1	6	6	6	6	6	6	15	15	15	51.421	448	448	0	39.335	45149	44004	36143	29678	35736	13380	43404	43490	37178	30790	35298	13578	7	7	7	7	7	7	45149	44004	36143	29678	35736	13380	43404	43490	37178	30790	35298	13578	7	7	7	7	7	7	15	50716000	50716000	8				113	3502;4496;5569;5912;7840;8327	True;True;True;True;True;True	3660;4701;5855;6212;8213;8720	4995;6510;8140;8614;11435;11436;12159	6906;8992;8993;11227;11851;15758;15759;16786	6906;8992;11227;11851;15758;16786		
